,Model_Name             ,Dataset,F1_score,Precision_score,Recall_score,Accuracy_score,True_Positive,False_Positive,True_Negative,False_Negative
0,Random Forest Classifier,Training,1.0,1.0,1.0,1.0,231,0,186,0
1,Random Forest Classifier,Testing,0.7666666666666667,0.75,0.7325581395348837,0.7682926829268293,75,23,63,19
2,Stochastic Gradient Decent,Training,0.7026378896882494,0.6352941176470589,0.7012987012987013,0.5806451612903226,185,46,108,78
3,Stochastic Gradient Decent,Testing,0.6944444444444444,0.6405228758169934,0.6901408450704225,0.5975609756097561,76,22,49,33
4,k nearest Neighbour,Training,0.8513189448441247,0.8342245989304814,0.8297872340425532,0.8387096774193549,199,32,156,30
5,k nearest Neighbour,Testing,0.7388888888888889,0.7006369426751593,0.7333333333333333,0.6707317073170732,78,20,55,27
6,Logistic Regression,Training,0.7601918465227818,0.7126436781609194,0.7654320987654321,0.6666666666666666,193,38,124,62
7,Logistic Regression,Testing,0.7722222222222223,0.7320261437908497,0.7887323943661971,0.6829268292682927,83,15,56,26
8,Support Vector Classifier,Training,0.750599520383693,0.6994219653179191,0.75625,0.6505376344086021,192,39,121,65
9,Support Vector Classifier,Testing,0.7666666666666667,0.7236842105263158,0.7857142857142857,0.6707317073170732,83,15,55,27
10,Bernoulli Naive Bayes,Training,0.7002398081534772,0.6684350132625995,0.6596858638743456,0.6774193548387096,166,65,126,60
11,Bernoulli Naive Bayes,Testing,0.7111111111111111,0.6790123456790124,0.6875,0.6707317073170732,73,25,55,27
12,Gradient Naive Bayes,Training,0.7338129496402878,0.6763848396501457,0.7388535031847133,0.6236559139784946,190,41,116,70
13,Gradient Naive Bayes,Testing,0.7666666666666667,0.7272727272727273,0.7777777777777778,0.6829268292682927,82,16,56,26
